A0.	Creator.
A1.	Identity of creator.
A1.1.	Sun-god as creator.
A1.2.	Grandfather as creator.
A1.3.	Stone-woman as creator.
A1.4.	Brahma as creator.
A2.	Multiple creators.
A2.1.	Three creators.
A2.2.	First human pair as creators.
A3.	Creative mother source of everything.
A5.	Reason for creation.
A5.1.	Gods make earth to have place to rest their feet.
A7.	Creator's descendants.
A7.1.	Creator has two sons.
A10.	Nature of the creator.
A11.	Invisible creator.
A11.1.	Invisibility of creator learned from the impossibility of staring at the sun, his servant.
A12.	Hermaphroditic creator.
A12.1.	Male and female creators.
A13.	Animal as creator.
A13.1.	Beast as creator.
A13.1.1.	Cow as creator.
A13.2.	Bird as creator.
A13.2.1.	Raven as creator.
A13.2.2.	Eagle as creator of man.
A13.2.3.	Black-winged bird as creator.
A13.3.	Insect as creator.
A13.3.1.	Spider as creator.
A13.3.2.	Beetle as creator.
A13.4.	Reptile as creator.
A13.4.1.	Snake as creator.
A13.4.2.	Worm as creator.
A15.	Human creator.
A15.1.	Female creator.
A15.1.1.	Old woman as creator.
A15.2.	Brothers as creators.
A15.3.	Old man as creator.
A15.3.1.	Old man with staff as creator.
A15.4.	Artisan as creator.
A15.4.1.	Potter as creator.
A17.	Angel as creator.
A18.	Pictorial representations of creator.
A18.1.	Creator with dragon's head.
A18.2.	Creator with two horns on head.
A18.3.	Dwarfish creator.
A18.4.	Creator clothed in bear-skin (or in leaves).
A18.5.	Creator with hammer and chisel in hands.
A18.6.	Creator with sun and moon in hands.
A19.	Nature of creator--miscellaneous.
A19.1.	Sun and moon (man and wife) as creators.
A19.2.	Creator with appearance of Negro.
A20.	Origin of the creator.
A21.	Creator from above.
A21.1.	Woman who fell from the sky.
A21.2.	Old man from sky as creator.
A22.	Creator comes out of chaos.
A23.	Creator offspring of dual powers of nature.
A25.	Creator from below.
A25.1.	Creator emerges from lake.
A26.	Creator comes from certain direction.
A26.1.	Creator comes from east.
A27.	Creator born from egg.
A30.	Creator's companions.
A31.	Creator's grandmother.
A32.	Creator's family.
A32.1.	Creator's son.
A32.2.	Creator's daughter.
A32.3.	Creator's wife.
A32.3.1.	Creator's wife seduced by his son.
A32.3.2.	Creator beats his wife while intoxicated from beverage he invents.
A33.	Animal as creator's companion.
A33.1.	Beast as creator's companion.
A33.1.1.	Creator's dog.
A33.2.	Bird as creator's companion.
A33.3.	Insect as creator's companion.
A33.3.1.	Bee as God's spy.
A33.4.	Other animal companions of creator.
A33.4.1.	Armadillo as creator's companion.
A36.	Creator's companions: unicorn, phoenix, tortoise, and dragon.
A37.	Joint creators.
A37.1.	Falcon and crow as joint creators.
A38.	Heavenly bodies as creator's companions.
A38.1.	Creator's companions: sun and moon.
A40.	Creator's advisers
A41.	Men as God's advisers.
A42.	Angels as God's advisers.
A42.1.	Seraphim as creator's advisers.
A42.1.1.	God consults two angels on creation.
A42.2.	God consults mercy on his right and justice on his left.
A43.	Devil as adviser of God.
A44.	Tora as God's adviser.
A45.	Souls of pious as Creator's advisers.
A50.	Conflict of good and evil creators
A50.1.	Creation of angels and devils.
A51.	Creation of devil(s).
A52.	Creation of angels.
A52.0.1.	Angels created to execute God's will.
A52.0.2.	Degraded gods become angels.
A52.0.3.	Angels existed prior to creation.
A52.0.4.	Angels are transformed souls of the pious.
A52.0.5.	Angels created from three elements.
A52.0.6.	Angels created from words uttered by God.
A52.0.7.	God drops water from his finger and the drops become angels.
A52.0.8.	God created angels by striking one small stone with another.
A52.1.	Creation of individual angels.
A52.1.1.	Angel of death created by God.
A52.1.2.	Angel Michael created from fire.
A52.1.3.	Angel Gabriel created from snow.
A52.1.4.	Angel Raphael created from water.
A52.1.5.	Angel of destruction created from hail and fire.
A52.2.	Time of creation of the angels.
A52.2.1.	Angels created on first day of creation.
A52.2.2.	Angels created on second day of creation.
A52.2.3.	Angels created on third day of creation.
A52.2.4.	Archangels created on first, angels on third day of creation.
A52.2.5.	Angels created on fifth day with other winged creatures.
A52.3.	Material of which angels are created (fire, water and snow).
A54.	Rebel angels.
A54.1.	Angel of sea rebels at world's creation; put to death by God.
A60.	Marplot at creation
A61.	Coyote as marplot at creation.
A63.	Devil as marplot at creation.
A63.1.	Devil works during God's sleep at creation.
A63.2.	Devil plans to drown God at time of creation.
A63.3.	Devil and God wrestle at time of creation.
A63.4.	Devil and God create animals.
A63.4.1.	God and the devil torment each other with their creations.
A63.5.	Lucifer causes fall of man.
A63.5.1.	Satan seduces Adam to sin because he is jealous of him.
A63.6.	Devil in serpent form tempts first woman (Satan and Eve).
A63.7.	Rebel god is author of all poisonous things.
A63.7.1.	Poisonous water created by the devil.
A63.8.	Satan attempts to create another world.
A67.	God makes things and tosses them into the air; what he catches is good for mankind, what opponent catches is bad.
A70.	Creator: miscellaneous motifs.
A71.	Creator tries to devour his son, the culture hero.
A72.	Original creator followed by transformers.
A73.	Lonely creator.
A74.	Reluctant creator.
A74.1.	Creation on condition that Israel accept Tora.
A74.2.	Creator repents of creating certain things.
A75.	Creator as ancestor of heaven and earth.
A76.	Creator's death.
A77.	Creator's works survive him.
A78.	Creator goes to make afterworld.
A81.	Creator goes to sky.
A84.	Creator of animals.
A84.1.	Creator of buffaloes.
A85.	Creation match between goddess-wife, god-husband.
A87.	Creator drunk from beverage he invents.
A100.	Deity.
A101.	Supreme god.
A101.1.	Supreme god as creator
A102.	Characteristics of deity.
A102.1.	Omniscient god.
A102.2.	All-seeing god.
A102.3.	Immutable god.
A102.4.	Omnipotent god.
A102.5.	Omnipresent god.
A102.6.	Eternal god.
A102.7.	Holy god.
A102.8.	Sleepless god.
A102.9.	Invisible god.
A102.10.	Unity of God.
A102.11.	Purity of God.
A102.12.	Perfect God.
A102.13.	Loving kindness of God.
A102.14.	Goodness of God.
A102.15.	Modesty of God.
A102.16.	Justice of God.
